50: 70.29275319;65.67247427;71.85164420
51: 70.61917450;65.84747128;72.59522096
52: 71.84136673;66.18368176;73.57833886
53: 72.04535862;66.18368176;73.57833886
54: 72.09709937;66.16802541;74.18145478
55: 72.07768386;66.37023405;74.89180082
56: 72.15945340;66.67011682;74.89180082
57: 72.34370388;66.62229075;75.46249595
58: 73.26541704;66.65240509;75.79060587
59: 73.32006618;66.91031562;75.79060587
60: 72.80286416;67.35872206;77.10542616
61: 73.55321971;67.50585660;77.10542616
62: 73.85017877;67.55614275;77.73282897
63: 74.12971944;67.51565636;77.88634223
64: 74.76760809;67.98983314;77.88634223
65: 74.44044404;67.75926565;78.45681754
66: 75.12688186;68.17091471;78.57468390
67: 74.92572430;68.37913206;78.57468390
68: 75.46067494;68.37913206;79.09509555
69: 76.23016271;68.61601126;79.09509555
70: 76.50933760;68.61601126;79.19121172
71: 76.43599390;69.06519144;79.49853803
72: 77.18264408;69.12803651;79.49853803
73: 77.37432715;69.13949840;79.53640153
74: 77.86008592;69.42051570;80.23766250
75: 78.20075769;69.42051570;80.23766250
76: 78.72196174;69.53745938;80.25932892
77: 79.17893615;69.93034939;80.51720582
78: 78.64960878;78.07132082;80.51720582
79: 79.06913558;78.20192444;80.64161565
80: 80.00519969;78.79205446;80.64161565
81: 79.79121856;79.18720854;80.77353365
82: 80.83491815;79.64018400;81.15879497
83: 79.82534755;79.83625051;81.15879497
84: 80.83083961;80.32544278;81.24135175
85: 81.04928956;80.56218530;81.46505020
86: 82.34265994;80.82338479;81.46505020
87: 82.52812215;81.40848550;81.64124121
88: 82.37438348;81.83803035;81.64124121
89: 83.20335916;82.06705592;81.90895644
90: 85.12478712;82.18688744;85.74004886
91: 85.68708811;83.01936476;85.74004886
92: 86.01580032;82.81668137;85.66381805
93: 86.23910225;83.03165386;86.21493421
94: 86.06013044;83.30747271;86.21493421
95: 87.13952164;83.59039675;87.29172174
96: 88.28112495;83.94602049;87.29172174
97: 88.08083715;84.02476065;88.84078134
98: 90.75781560;84.07829123;89.01688758
99: 90.93025283;83.56443109;89.01688758
100: 91.09583680;84.02234010;100.00000000
